dataset,fold,step,strategy,f1,patterns
Production,1,0,All,0.7044,26
Production,1,0,Pareto,0.7267,7
Production,1,1,All,0.7044,117
Production,1,1,Pareto,0.7488,15
Production,1,2,All,0.7032,228
Production,1,2,Pareto,0.6758,24
Production,2,0,All,0.6379,26
Production,2,0,Pareto,0.7213,7
Production,2,1,All,0.6284,129
Production,2,1,Pareto,0.6893,13
Production,2,2,All,0.6791,139
Production,2,2,Pareto,0.6893,13
Production,3,0,All,0.7951,26
Production,3,0,Pareto,0.6586,5
Production,3,1,All,0.7727,106
Production,3,1,Pareto,0.5892,12
Production,3,2,All,0.7727,183
Production,3,2,Pareto,0.5648,16
Production,4,0,All,0.7947,25
Production,4,0,Pareto,0.796,6
Production,4,1,All,0.7053,116
Production,4,1,Pareto,0.7727,16
Production,4,2,All,0.7708,244
Production,4,2,Pareto,0.7964,23
Production,5,0,All,0.7273,26
Production,5,0,Pareto,0.7493,6
Production,5,1,All,0.7504,109
Production,5,1,Pareto,0.7013,18
Production,5,2,All,0.6596,276
Production,5,2,Pareto,0.6714,25
BPIC12,1,0,All,1.0,23
BPIC12,1,0,Pareto,1.0,5
BPIC12,2,0,All,1.0,23
BPIC12,2,0,Pareto,1.0,6
BPIC12,3,0,All,1.0,23
BPIC12,3,0,Pareto,1.0,6
BPIC12,4,0,All,1.0,23
BPIC12,4,0,Pareto,1.0,7
BPIC12,5,0,All,1.0,23
BPIC12,5,0,Pareto,1.0,6
