dataset,extension_step,strategy,mean_f1,std_f1,num_patterns
bpic11_trunc.csv,0,All,0.9656886146334603,0.015370817427105627,584.8
bpic11_trunc.csv,0,Pareto,0.9551742916264512,0.00994219798238878,3.0
bpic11_trunc.csv,0,TopK_CaseDistance,0.903589334209266,0.020563476720246054,3.0
bpic11_trunc.csv,0,TopK_Frequency,0.9499762424906193,0.012652513857193825,3.0
bpic11_trunc.csv,0,TopK_Outcome,0.9694362603351558,0.006835091920981786,3.0
bpic12_trunc.csv,0,All,1.0,0.0,23.0
bpic12_trunc.csv,0,Pareto,1.0,0.0,6.0
bpic12_trunc.csv,0,TopK_CaseDistance,0.7248725223045243,0.011038303288636126,6.0
bpic12_trunc.csv,0,TopK_Frequency,1.0,0.0,6.0
bpic12_trunc.csv,0,TopK_Outcome,1.0,0.0,6.0
production_trunc.csv,0,All,0.7318754932024426,0.06625768725335676,25.8
production_trunc.csv,0,Pareto,0.7303869643065795,0.04979406708367251,6.2
production_trunc.csv,0,TopK_CaseDistance,0.6520778565359369,0.091667167868134,6.2
production_trunc.csv,0,TopK_Frequency,0.7186177463544332,0.053112396235061976,6.2
production_trunc.csv,0,TopK_Outcome,0.7375116505909338,0.06387771959668495,6.2
production_trunc.csv,1,All,0.6760595537114585,0.03244546778098683,115.4
production_trunc.csv,1,Pareto,0.6987168395520064,0.08925896819242264,14.8
production_trunc.csv,1,TopK_CaseDistance,0.3700407180202577,0.04703175416831792,14.8
production_trunc.csv,1,TopK_Frequency,0.6888843277584364,0.06071548412746178,14.8
production_trunc.csv,1,TopK_Outcome,0.6773091091230966,0.09279584532041342,14.8
production_trunc.csv,2,All,0.7177450425875452,0.048271418039426105,216.8
production_trunc.csv,2,Pareto,0.6931649086104235,0.09325578833476594,20.2
production_trunc.csv,2,TopK_CaseDistance,0.3700407180202577,0.04703175416831792,20.2
production_trunc.csv,2,TopK_Frequency,0.706813757235515,0.04729900101720095,20.2
production_trunc.csv,2,TopK_Outcome,0.6951275488931621,0.0691826548257695,20.2
